checkId,name,collector,category,severity,complexity,disruptionRisk,licensingMinimum,hasAutomatedCheck,remediationMode,portalPath,powershellCommand,notes,specStatus,ticket
CA-NAMEDLOC-002,CA policies reference stale or deleted named locations,CAEvaluator,NAMEDLOC,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access > Named locations,,Identify and remove named location objects that are no longer in use. Review each CA policy that references named locations and remove or replace stale location references,not-started,
CA-PHISHRES-001,Ensure 'Phishing-resistant MFA strength' is required for Administrators,CAEvaluator,PHISHRES,High,4,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: Target admin roles > Grant > Require authentication strength > Phishing-resistant MFA,not-started,
CA-REMOTEDEVICE-001,Ensure Remote Access Enforces Device Compliance via Conditional Access,CAEvaluator,REMOTEDEVICE,High,4,True,E3,True,manual,Entra admin center > Security > Conditional Access > New policy > target all users > Condition: Device platforms or named locations > Grant: Require device to be marked as compliant,,Require device compliance for remote access. . Combine with Intune compliance policies,not-started,
CA-REPORTONLY-001,Conditional Access policies in report-only mode,CAEvaluator,REPORTONLY,Medium,2,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Review report-only policies and either enable enforcement or remove if no longer needed,not-started,
CA-RISKPOLICY-001,CA policy combines sign-in risk and user risk (anti-pattern),CAEvaluator,RISKPOLICY,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Combining sign-in risk and user risk in one CA policy creates an AND condition -- both must be true to trigger. Microsoft recommends separate policies for each risk type,not-started,
CA-ROLECOVERAGE-001,CA policies targeting directory roles miss active Tier-0 roles,CAEvaluator,ROLECOVERAGE,High,4,True,E3,True,undetermined,,,"Consider creating CA policies that specifically target privileged directory roles with stricter controls (phishing-resistant MFA, compliant devices)",not-started,
CA-SESSION-001,Persistent browser sessions allowed without device compliance,CAEvaluator,SESSION,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,Persistent browser sessions on unmanaged devices increase the risk of session hijacking. Require device compliance or remove persistent browser grants,not-started,
CA-SIGNIN-FREQ-001,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,CAEvaluator,SIGNIN-FREQ,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access,,"Create a CA policy: Target admin roles > Session > Sign-in frequency (e.g., 4 hours) + Persistent browser session = Never",not-started,
CA-SIGNINRISK-001,Enable Identity Protection sign-in risk policies,CAEvaluator,SIGNINRISK,High,5,True,E5,True,manual,Entra admin center > Protection > Conditional Access,,"Create a CA policy: Target All users > Conditions > Sign-in risk > High, Medium > Grant > Require MFA",not-started,
CA-SIGNINRISK-002,Ensure 'sign-in risk' is blocked for medium and high risk,CAEvaluator,SIGNINRISK,High,5,True,E5,True,undetermined,,,"Security Defaults blocks high-risk sign-ins but does not provide granular medium-risk controls. For full coverage, disable Security Defaults and create Conditional Access policies with Entra ID P2",not-started,
CA-STALEREF-001,CA policies reference deleted or invalid groups,CAEvaluator,STALEREF,Medium,3,True,E3,True,manual,Entra admin center > Protection > Conditional Access > Policies,,"For each policy, review the Users > Include and Exclude conditions and remove any group objects that have been deleted from Entra ID. Ensure every group reference resolves to an active group",not-started,
CA-USERRISK-001,Enable Identity Protection user risk policies,CAEvaluator,USERRISK,High,5,True,E5,True,manual,Entra admin center > Protection > Conditional Access,,Create a CA policy: Target All users > Conditions > User risk > High > Grant > Require password change + MFA,not-started,
COMPLIANCE-ALERTPOLICY-001,Security Alert Policies Configuration,Compliance,ALERTPOLICY,High,3,False,E3,True,manual,Microsoft Purview > Alert policies > Review and enable default alert policies,,"Ensure high-severity policies for suspicious activity, malware, and privilege escalation are active",not-started,
COMPLIANCE-AUDIT-001,Ensure Microsoft 365 audit log search is Enabled,Compliance,AUDIT,High,3,True,E3,True,auto-candidate,Microsoft Purview > Audit > Start recording user and admin activity,Set-AdminAuditLogConfig -UnifiedAuditLogIngestionEnabled $true,,not-started,
COMPLIANCE-COMMS-001,Ensure Communication Compliance Policies are Enabled,Compliance,COMMS,Medium,4,True,E5,True,manual,Microsoft Purview > Communication compliance > Create a policy to monitor communications for policy violations and insider risk,,Requires E5 Compliance licensing,not-started,
COMPLIANCE-DLP-001,Ensure DLP policies are enabled,Compliance,DLP,High,3,False,E3,True,manual,Microsoft Purview > Data loss prevention > Policies > Create a DLP policy covering sensitive information types relevant to your organization,,,not-started,
COMPLIANCE-DLP-002,Ensure DLP policies are enabled for Microsoft Teams,Compliance,DLP,High,4,False,E5,True,manual,Microsoft Purview > Data loss prevention > Policies > Edit an existing policy or create new > Include Teams chat and channel messages location,,,not-started,
COMPLIANCE-DLP-003,Ensure DLP Policies Cover Exchange and SharePoint/OneDrive,Compliance,DLP,High,3,False,E3,True,manual,Microsoft Purview > Data loss prevention > Policies > Edit existing policies to include Exchange email and SharePoint/OneDrive locations for comprehensive data protection,,,not-started,
COMPLIANCE-LABELS-001,Ensure Information Protection sensitivity label policies are published,Compliance,LABELS,Medium,2,False,E3,True,manual,Microsoft Purview > Information protection > Labels > Create and publish sensitivity labels,,Then create a label policy to deploy them to users,not-started,
COMPLIANCE-LABELS-002,Ensure Auto-Sensitivity Labeling Policies are Configured,Compliance,LABELS,High,4,False,E5,True,manual,Microsoft Purview > Information protection > Auto-labeling > Create a policy to automatically classify sensitive content,,Requires Azure Information Protection P2 (E5 or E5 Compliance),not-started,
DEFENDER-ANTIMALWARE-001,Ensure the Common Attachment Types Filter is enabled,Defender,ANTIMALWARE,Medium,3,False,E3,True,auto-candidate,Security admin center > Anti-malware > Default policy > Common attachments filter > Enable,Set-MalwareFilterPolicy -Identity <PolicyName> -EnableFileFilter $true,,not-started,
DEFENDER-ANTIMALWARE-002,Ensure notifications for internal users sending malware is Enabled,Defender,ANTIMALWARE,Medium,2,False,E3,True,auto-candidate,Security admin center > Anti-malware > Default policy > Admin notifications > Notify admin about undelivered messages from internal senders,Set-MalwareFilterPolicy -Identity <PolicyName> -EnableInternalSenderAdminNotifications $true -InternalSenderAdminAddress admin@domain.com,,not-started,
DEFENDER-ANTIPHISH-001,Ensure that an anti-phishing policy has been created,Defender,ANTIPHISH,Medium,4,False,E5,True,undetermined,,,No action needed -- settings enforced by preset security policy,not-started,
DEFENDER-ANTISPAM-001,Ensure Exchange Online Spam Policies are set to notify administrators,Defender,ANTISPAM,Medium,3,False,E3,True,undetermined,,,No action needed -- settings enforced by preset security policy,not-started,
DEFENDER-ANTISPAM-002,Ensure inbound anti-spam policies do not contain allowed domains,Defender,ANTISPAM,High,4,False,E3,True,manual,Defender portal > Email & Collaboration > Policies & rules > Threat policies > Anti-spam > edit each inbound policy > Allow & block lists > Allowed domains: remove all entries,,Remove all entries from the 'Allowed domains' list in inbound anti-spam policies. . Allowed domains bypass both spam and malware filtering,not-started,
DEFENDER-CFGDETECT-001,Ensure automated detection of misconfigured or unauthorized components,Defender,CFGDETECT,High,4,False,E5,True,manual,security.microsoft.com > Settings > Device discovery,,Enable Defender for Endpoint device discovery. . Ensure devices are onboarded and configuration assessment is active,not-started,
DEFENDER-CLOUDAPPS-001,Ensure Microsoft Defender for Cloud Apps is enabled and configured,Defender,CLOUDAPPS,Medium,3,False,E5,True,manual,Defender portal > Settings > Cloud apps > verify connection,,Enable and configure Microsoft Defender for Cloud Apps. . Enable app connectors for Microsoft 365 and configure session policies via Conditional Access app control for sensitive applications,not-started,
DEFENDER-MALWARE-002,Ensure comprehensive attachment filtering is applied,Defender,MALWARE,Medium,3,False,E3,True,manual,Defender portal > Email & Collaboration > Policies & rules > Threat policies > Anti-malware > edit default policy > Common attachments filter: On,,"Enable comprehensive attachment filtering. . Add high-risk extensions (.exe, .js, .vbs, .bat, .cmd, .ps1, .msi). Enable ZAP",not-started,
DEFENDER-OUTBOUND-001,Ensure outbound anti-spam message limits are in place,Defender,OUTBOUND,Medium,3,False,E3,True,auto-candidate,Security admin center > Anti-spam > Outbound policy > Auto-forwarding rules > Off,Set-HostedOutboundSpamFilterPolicy -Identity <PolicyName> -AutoForwardingMode Off,,not-started,
DEFENDER-PRIORITY-001,Ensure Priority account protection is enabled and configured,Defender,PRIORITY,Medium,3,True,E5,True,manual,Security admin center > Preset security policies > Strict or Standard protection > Assign users/groups,,Configure preset security policies in,not-started,
DEFENDER-PRIORITY-002,Ensure Priority accounts have 'Strict protection' presets applied,Defender,PRIORITY,Medium,3,True,E5,True,manual,Security admin center > Preset security policies > Strict protection > Manage protection settings > Add users or groups,,Assign priority account users to the Strict preset policy,not-started,
DEFENDER-REALTIMESCAN-001,Ensure Defender Antivirus real-time protection is enabled,Defender,REALTIMESCAN,Critical,5,False,E3,True,manual,Intune admin center > Endpoint security > Antivirus > Create policy > Microsoft Defender Antivirus > Enable real-time protection,,,not-started,
DEFENDER-SAFEATTACH-001,Ensure Safe Attachments policy is enabled,Defender,SAFEATTACH,High,3,False,E5,True,auto-candidate,Security admin center > Safe Attachments > Create a policy covering all users,"New-SafeAttachmentPolicy -Name ""Safe Attachments"" -Enable $true -Action Block; New-SafeAttachmentRule -Name ""Safe Attachments"" -SafeAttachmentPolicy ""Safe Attachments"" -RecipientDomainIs (Get-AcceptedDomain).Name",,not-started,
DEFENDER-SAFEATTACH-002,Ensure Safe Attachments for SharePoint OneDrive and Microsoft Teams is Enabled,Defender,SAFEATTACH,Medium,3,True,E5,True,auto-candidate,"Security admin center > Safe Attachments > Global settings > Turn on Defender for Office 365 for SharePoint, OneDrive, and Microsoft Teams",Set-AtpPolicyForO365 -EnableATPForSPOTeamsODB $true,,not-started,
DEFENDER-SAFELINKS-001,Ensure Safe Links for Office Applications is Enabled,Defender,SAFELINKS,High,3,False,E5,True,auto-candidate,Security admin center > Safe Links > Create a policy covering all users,"New-SafeLinksPolicy -Name ""Safe Links"" -IsEnabled $true; New-SafeLinksRule -Name ""Safe Links"" -SafeLinksPolicy ""Safe Links"" -RecipientDomainIs (Get-AcceptedDomain).Name",,not-started,
DEFENDER-SECUREMON-001,Ensure continuous security monitoring via Microsoft Secure Score,Defender,SECUREMON,Medium,3,False,E3,True,undetermined,,,Access Microsoft Secure Score at security.microsoft.com/securescore. Review and act on improvement recommendations regularly,not-started,
DEFENDER-SECURESCORE-001,Microsoft Secure Score Posture,Defender,SECURESCORE,Medium,3,False,E3,True,manual,security.microsoft.com/securescore > Improvement actions > sort by Score impact,,Review and act on improvement actions. Microsoft Secure Score > . Assign owners to high-impact actions and track progress,not-started,
DEFENDER-VULNSCAN-001,Ensure vulnerability scanning is active via Defender for Endpoint,Defender,VULNSCAN,High,5,False,E5,True,manual,security.microsoft.com > Vulnerability management to review coverage,,Enable Microsoft Defender for Endpoint. Navigate to . Ensure devices are onboarded to MDE,not-started,
DEFENDER-ZAP-001,Ensure Zero-hour auto purge for Microsoft Teams is on,Defender,ZAP,Medium,2,True,E5,True,manual,Security admin center > Settings > Zero-hour auto purge > Teams,,Enable ZAP for Teams in,not-started,
DNS-DKIM-001,Ensure that DKIM is enabled for all Exchange Online Domains,DNS,DKIM,Low,4,True,E3,True,undetermined,,,Connect to Exchange Online and verify accepted domains,not-started,
DNS-DMARC-001,Ensure DMARC Records for all Exchange Online domains are published,DNS,DMARC,High,5,True,E3,True,undetermined,,,Connect to Exchange Online and verify accepted domains,not-started,
DNS-MX-001,Ensure MX records exist and point to Exchange Online for all email domains,DNS,MX,High,,,E3,True,undetermined,,,,not-started,
DNS-SPF-001,Ensure that SPF records are published for all Exchange Domains,DNS,SPF,High,3,True,E3,True,undetermined,,,Connect to Exchange Online and verify accepted domains,not-started,
ENTRA-ADMIN-001,Ensure that between two and four global admins are designated,Entra,ADMIN,Medium,3,True,E3,True,undetermined,,,"The Global Administrator directory role is not activated in this tenant. Activate the role by assigning at least one user, then re-run the assessment",not-started,
ENTRA-ADMIN-002,Ensure access to the Entra admin center is restricted,Entra,ADMIN,Low,2,False,E3,True,manual,"Entra admin center > Identity > Users > User settings > Administration center > set ""Restrict access to Microsoft Entra admin center"" to Yes",,,not-started,
ENTRA-ADMIN-003,Ensure two emergency access accounts have been defined,Entra,ADMIN,Critical,3,True,E3,True,undetermined,,,Maintain at least two cloud-only emergency access accounts excluded from all Conditional Access policies,not-started,
ENTRA-ADMIN-004,Ensure all Global Administrators use phishing-resistant MFA,Entra,ADMIN,Critical,4,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Policies,,"Enroll all Global Administrators in phishing-resistant MFA (FIDO2, Windows Hello for Business, or certificate-based)",not-started,
ENTRA-ADMINROLE-SEPARATION-001,Ensure Admin Accounts are Separated from Daily-Use Accounts,Entra,ADMINROLE,High,4,True,E3,True,manual,Entra admin center > Users > New user (cloud identity),,Create dedicated cloud-only admin accounts separate from daily-use accounts. Admin accounts should hold no Exchange mailbox or E3/E5 licenses. . Assign admin roles only to the dedicated accounts,not-started,
ENTRA-APPREG-001,Users Can Register Applications,Entra,APPREG,Medium,3,True,E3,True,auto-candidate,Entra admin center > Users > User settings,Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{AllowedToCreateApps = $false},,not-started,
ENTRA-APPREG-002,Apps with localhost redirect URIs in production,EntApp,APPREG,Medium,3,False,E3,True,manual,Entra admin center > App registrations > Authentication,,"Remove localhost redirect URIs from production app registrations. In shared environments, tokens redirected to localhost can be intercepted",not-started,
ENTRA-APPREG-003,Apps with HTTP (non-HTTPS) redirect URIs,EntApp,APPREG,High,4,False,E3,True,manual,Entra admin center > App registrations > Authentication,,Update HTTP redirect URIs to HTTPS. Non-HTTPS URIs allow token interception via MITM attacks,not-started,
ENTRA-APPREG-004,Apps with wildcard redirect URIs (open redirect risk),EntApp,APPREG,High,4,False,E3,True,manual,Entra admin center > App registrations > Authentication,,Replace wildcard redirect URIs with explicit URIs. Wildcards enable open redirect attacks for token theft,not-started,
ENTRA-APPS-001,Ensure third party integrated applications are not allowed,Entra,APPS,Medium,3,True,E3,True,manual,Entra admin center > Users > User settings > Users can register applications > No,,Also review Enterprise applications > User settings > Users can consent to apps,not-started,
ENTRA-APPS-002,App registrations with dangerous Intune write permissions,StrykerReadiness,APPS,High,4,False,E3,True,manual,Entra admin center > App registrations > select app > API permissions,,"Remove Intune write permissions from app registrations that do not require them. . Remove DeviceManagementConfiguration.ReadWrite.All and equivalent permissions. Only approved, monitored service principals should hold Intune write access",not-started,
ENTRA-APPS-003,Ensure legacy MSOL and Azure AD PowerShell module access is blocked,Entra,APPS,Medium,3,True,E3,True,undetermined,,,Set 'blockMsolPowerShell' to true . Migrate scripts to the Microsoft Graph PowerShell SDK (Microsoft.Graph module) which uses modern authentication,not-started,
ENTRA-AUTHMETHOD-001,Ensure weak authentication methods are disabled,Entra,AUTHMETHOD,Medium,3,True,E3,True,manual,Entra admin center > Protection > Authentication methods > SMS > Disable,,SMS is vulnerable to SIM-swapping attacks,not-started,
ENTRA-AUTHMETHOD-002,Ensure the email OTP authentication method is disabled,Entra,AUTHMETHOD,Medium,3,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Email OTP > Disable,,Email OTP is a weaker authentication factor,not-started,
ENTRA-AUTHMETHOD-003,Ensure Microsoft Authenticator is configured to protect against MFA fatigue,Entra,AUTHMETHOD,Low,1,False,E3,True,manual,"Entra admin center > Protection > Authentication methods > Microsoft Authenticator > Configure > Require number matching = Enabled, Show application name = Enabled",,,not-started,
ENTRA-AUTHMETHOD-004,Ensure system-preferred multifactor authentication is enabled,Entra,AUTHMETHOD,Medium,2,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Settings > System-preferred multifactor authentication > Enabled,,,not-started,
ENTRA-AUTHMETHOD-005,Ensure authentication methods policy is fully migrated to the converged policy,Entra,AUTHMETHOD,Medium,3,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Settings > Enable combined registration and set Migration to 'Migration complete',,This ensures all authentication method configurations are managed from a single policy,not-started,
ENTRA-AUTHMETHOD-006,Ensure suspicious activity reporting is enabled for MFA prompts,Entra,AUTHMETHOD,Medium,2,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Settings > Report suspicious activity > State: Enabled,,"This allows users who receive unexpected MFA prompts to flag them, generating a risk event in Identity Protection",not-started,
ENTRA-AUTHMETHOD-007,Ensure Temporary Access Pass authentication method is enabled,Entra,AUTHMETHOD,Low,2,False,E3,True,manual,Entra admin center > Protection > Authentication methods > Temporary Access Pass > State: Enabled,,Scope to specific groups or all users as appropriate. Configure a short lifetime (1–8 hours) and set as single-use only,not-started,
ENTRA-AUTHMETHOD-008,Ensure Temporary Access Pass is configured as single-use only,Entra,AUTHMETHOD,Medium,3,True,E3,True,manual,Entra admin center > Protection > Authentication methods > Temporary Access Pass > Is usable once: Enabled,,This ensures each TAP is consumed on first use and cannot be replayed,not-started,
ENTRA-BREAKGLASS-001,No break-glass emergency access account detected,StrykerReadiness,BREAKGLASS,High,4,False,E3,True,manual,Entra admin center > Users > New user,,Create two cloud-only emergency access accounts with permanent Global Administrator roles. Exclude from all Conditional Access policies. Store credentials offline. . Alert on any sign-in via Azure Monitor or Microsoft Sentinel,not-started,
ENTRA-BREAKGLASS-002,Ensure emergency access account activity is monitored,Entra,BREAKGLASS,High,4,True,E5,True,manual,Entra admin center > Monitoring > Diagnostic settings > Add diagnostic setting,,"Select 'SignInLogs' and route to a Log Analytics workspace. Then create a Microsoft Sentinel or Azure Monitor alert rule: filter for UPN of both break-glass accounts, trigger on any successful or failed sign-in",not-started,
ENTRA-CA-001,Enable Conditional Access policies to block legacy authentication,Entra,CA,High,4,True,E3,True,manual,Entra admin center > Security > Conditional Access > New policy > Condition: Client apps = Other clients + Exchange ActiveSync clients > Grant: Block access,,Create a Conditional Access policy blocking legacy authentication protocols. . Monitor legacy auth sign-ins in the sign-in log before enforcing,not-started,
ENTRA-CA-002,Conditional Access Policy Count,Entra,CA,Medium,3,True,E3,True,undetermined,,,Informational — review Conditional Access policy coverage for your organization,not-started,
ENTRA-CA-003,Enabled Conditional Access Policies,Entra,CA,Medium,3,True,E3,True,auto-candidate,,"Get-MgIdentityConditionalAccessPolicy | Where-Object {$_.State -eq ''enabled''}. Ensure policies are set to On, not Report-only",,not-started,
ENTRA-CA-SESSIONFREQ-001,Ensure Conditional Access Enforces Session Sign-In Frequency,CAEvaluator,SESSIONFREQ,Medium,3,True,E3,True,manual,"Entra admin center > Security > Conditional Access > New policy > Grant: require periodic re-authentication > Session: Sign-in frequency (e.g., 8 hours for standard users, 1 hour for privileged sessions)",,Enforce sign-in frequency via Conditional Access. . Disable persistent browser sessions for unmanaged devices,not-started,
ENTRA-CLOUDADMIN-001,Ensure Administrative accounts are cloud-only,Entra,CLOUDADMIN,High,4,True,E3,False,manual,Entra admin center > Users > New user > Create user (cloud identity),,Create cloud-only admin accounts instead of using on-premises synced accounts,not-started,
ENTRA-CLOUDADMIN-002,Ensure administrative accounts use licenses with a reduced application footprint,Entra,CLOUDADMIN,Medium,3,True,E3,True,manual,M365 admin center > Users > Active users > Licenses,,Assign admin accounts minimal licenses (Entra ID P2). Do not assign E3/E5 productivity suites,not-started,
ENTRA-CONSENT-001,Ensure user consent to apps accessing company data on their behalf is not allowed,Entra,CONSENT,Low,2,False,E3,True,auto-candidate,Entra admin center > Enterprise applications > Consent and permissions,Update-MgPolicyAuthorizationPolicy -DefaultUserRolePermissions @{PermissionGrantPoliciesAssigned = @()},,not-started,
ENTRA-CONSENT-002,Ensure the admin consent workflow is enabled,Entra,CONSENT,Low,2,False,E3,True,auto-candidate,Entra admin center > Enterprise applications > Admin consent requests,Update-MgPolicyAdminConsentRequestPolicy -IsEnabled $true,,not-started,
ENTRA-CONSENT-003,User consent restricted to verified publishers only,Entra,CONSENT,High,4,True,E3,True,manual,Entra admin center > Enterprise applications > Consent and permissions > User consent settings > Allow consent only from verified publishers or block user consent entirely,,,not-started,
ENTRA-CONSENT-004,Tenant-wide admin consent grants to third-party apps,Entra,CONSENT,High,4,True,E3,True,manual,Entra admin center > Enterprise applications > filter by Admin consent,,Review tenant-wide admin consent grants. These grants apply to all users in the tenant. Remove overly broad grants that are no longer needed,not-started,
ENTRA-CONSENT-005,Ensure admin consent request has designated reviewers configured,Entra,CONSENT,Medium,3,True,E3,True,manual,Entra admin center > Enterprise applications > Consent and permissions > User consent settings > Admin consent requests > Reviewers: Add designated reviewers (Application Administrators or Cloud Application Administrators),,Avoid using Global Administrators as default reviewers,not-started,
ENTRA-CONSENT-006,Ensure admin consent request sends email notifications to reviewers,Entra,CONSENT,Low,2,False,E3,True,manual,Entra admin center > Enterprise applications > Consent and permissions > User consent settings > Admin consent requests > Notify reviewers: Enabled,,This ensures reviewers receive email notifications when new consent requests are submitted,not-started,
ENTRA-DEVICE-001,Ensure the ability to join devices to Entra is restricted,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Users may join devices to Microsoft Entra > Selected,,Restrict to a specific group of authorized users,not-started,
ENTRA-DEVICE-002,Ensure the maximum number of devices per user is limited,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Maximum number of devices per user,,Set to 15 or lower,not-started,
ENTRA-DEVICE-003,Ensure the GA role is not added as a local administrator during Entra join,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Global administrator is added as local administrator on the device during Azure AD Join > No,,,not-started,
ENTRA-DEVICE-004,Ensure local administrator assignment is limited during Entra join,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Manage Additional local administrators on all Azure AD joined devices,,Minimize additional local admins,not-started,
ENTRA-DEVICE-005,Ensure Local Administrator Password Solution is enabled,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Enable Microsoft Entra Local Administrator Password Solution (LAPS) > Yes,,,not-started,
ENTRA-DEVICE-006,Ensure users are restricted from recovering BitLocker keys,Entra,DEVICE,Medium,3,True,E3,True,manual,Entra admin center > Devices > Device settings > Restrict users from recovering the BitLocker key(s) for their owned devices > Yes,,,not-started,
ENTRA-DISABLED-001,Disabled Member Account Count,Entra,DIRECTORY,Informational,2,False,E3,True,undetermined,,,"Review disabled accounts periodically and remove those not required for legal hold or audit purposes. In the Microsoft 365 admin center: Active users > Filter > Deleted users. For bulk removal, use: Get-MgUser -Filter 'accountEnabled eq false and userType eq Member' | Remove-MgUser",not-started,
ENTRA-ENTAPP-001,Enabled apps with client credentials (secrets or certificates),EntApp,ENTAPP,Medium,3,False,E3,True,manual,Entra admin center > Enterprise applications > review each app with credentials,,Remove secrets/certificates from apps that no longer need them,not-started,
ENTRA-ENTAPP-002,Inactive apps with credentials (no sign-in > 90 days),EntApp,ENTAPP,Medium,3,False,E3,True,manual,Entra admin center > Enterprise applications > filter by last sign-in > remove secrets/certificates,,Review the following inactive apps and remove their credentials or disable them:,not-started,
ENTRA-ENTAPP-003,Foreign apps with dangerous application permissions,EntApp,ENTAPP,High,4,False,E3,True,manual,Entra admin center > Enterprise applications > review foreign apps with Tier 0 permissions,,These permissions have documented attack paths to Global Administrator. Remove or replace with least-privilege alternatives,not-started,
ENTRA-ENTAPP-004,Foreign apps with dangerous delegated permissions,EntApp,ENTAPP,High,4,False,E3,True,manual,Entra admin center > Enterprise applications > review foreign apps with high-privilege delegated permissions,,Revoke admin consent or remove the app,not-started,
ENTRA-ENTAPP-005,Foreign apps with Entra directory roles,EntApp,ENTAPP,High,4,False,E3,True,manual,Entra admin center > Roles and administrators > review roles assigned to foreign service principals,,Remove role assignments from untrusted external apps,not-started,
ENTRA-ENTAPP-006,Apps with excessive permission count (>10 application permissions),EntApp,ENTAPP,Medium,3,False,E3,True,manual,Entra admin center > App registrations > [app] > API permissions,,Review apps with > 10 application permissions. Remove unnecessary permissions to follow least-privilege,not-started,
ENTRA-ENTAPP-007,App instance property lock not enabled,EntApp,ENTAPP,Medium,3,False,E3,True,manual,Entra admin center > Applications > App management policies > configure a default policy to lock sensitive properties on multi-tenant apps,,,not-started,
ENTRA-ENTAPP-008,Managed identities with dangerous application permissions,EntApp,ENTAPP,High,4,False,E3,True,manual,Azure portal > Managed Identity > API permissions,,"Review managed identity permissions. Use narrower permissions (e.g., Mail.Read instead of Mail.ReadWrite)",not-started,
ENTRA-ENTAPP-009,Managed identities with Entra directory roles,EntApp,ENTAPP,High,4,False,E3,True,manual,Entra admin center > Roles and administrators,,Review managed identities with directory roles. Use Graph API permissions instead of directory roles where possible,not-started,
